iter	Passed	Remaining
397	173396	17309398	173397	17348399	173398	17382400	174399	17427401	174400	17473402	175401	17527403	175402	17578404	176403	17620405	176404	17679	25973
405	17730	25940
406	17775	25899
407	17818	25854
408	17853	25798
409	17882	25732
410	17914	25672
411	17943	25608
412	17989	25569
413	18028	25518
414	18064	25463
415	18098	25406
416	18123	25338
417	18164	25291
418	18206	25245
419	18251	25205
420	18293	25158
421	18321	25094
422	18348	25028
423	18377	24966
424	18405	24901
425	18432	24835
426	18469	24784
427	18512	24740
428	18549	24689
429	18578	24626
430	18612	24571
431	18647	24517
432	18686	24469
433	18794	24511
434	18835	24463
435	18880	24423
436	18907	24358
437	18949	24314
438	18984	24260
439	19010	24195
440	19035	24128
441	19066	24070
442	19095	24009
443	19128	23953
444	19159	23895
445	19192	23840
446	19221	23779
447	19250	23719
448	19291	23673
449	19321	23615
450	19352	23557
451	19379	23495
452	19420	23450
453	19462	23406
454	19506	23365
455	19547	23320
456	19576	23259
457	19612	23209
458	19655	23166
459	19700	23127
460	19745	23085
461	19773	23025
462	19805	22970
463	19843	22922
464	19894	22889
465	19979	22894
466	20028	22859
467	20061	22804
468	20093	22749
469	20123	22692
470	20176	22660
471	20230	22630
472	20268	22582
473	20316	22545
474	20377	22522
475	20413	22472
476	20448	22420
477	20489	22375
478	20526	22326
479	20570	22284
480	20607	22235
481	20669	22213
482	20699	22157
483	20736	22107
484	20780	22066
485	20819	22019
486	20856	21969
487	20909	21937
488	20945	21887
489	20993	21850
490	21030	21801
491	21066	21751
492	21102	21701
493	21117	21630
494	21135	21562
495	21150	21491
496	21168	21423
497	21185	21355
498	21199	21284
499	21211	21211
500	21228	21143
501	21242	21073
502	21255	21002
503	21271	20933
504	21286	20865
505	21301	20795
506	21316	20727
507	21329	20657
508	21344	20590
509	21362	20524
510	21378	20458
511	21396	20393
512	21412	20326
513	21432	20264
514	21454	20204
515	21494	20161
516	21531	20115
517	21563	20064
518	21592	20011
519	21640	19975
520	21681	19933
521	21731	19899
522	21773	19857
523	21802	19805
524	21837	19757
525	21879	19716
526	21919	19673
527	21967	19637
528	22015	19602
529	22066	19568
530	22097	19517
531	22132	19470
532	22168	19423
533	22195	19368
534	22235	19326
535	22267	19276
536	22302	19229
537	22342	19185
538	22386	19146
539	22419	19098
540	22456	19052
541	22503	19015
542	22529	18961
543	22554	18905
544	22598	18866
545	22650	18834
546	22684	18786
547	22737	18754
548	22777	18711
549	22819	18670
550	22851	18621
551	22894	18581
552	22945	18546
553	22980	18500
554	23018	18456
555	23061	18415
556	23103	18375
557	23163	18348
558	23188	18293
559	23235	18256
560	23270	18210
561	23298	18157
562	23322	18103
563	23360	18058
564	23396	18013
565	23437	17971
566	23473	17925
567	23519	17888
568	23567	17851
569	23631	17827
570	23683	17794
571	23727	17754
572	23783	17723
573	23821	17679
574	23871	17644
575	23909	17600
576	23959	17564
577	23999	17521
578	24051	17488
579	24104	17455
580	24143	17411
581	24184	17369
582	24224	17327
583	24262	17283
584	24324	17255
585	24364	17212
586	24405	17171
587	24440	17124
588	24470	17075
589	24503	17027
590	24542	16984
591	24605	16957
592	24617	16896
593	24631	16835
594	24639	16771
595	24650	16709
596	24660	16647
597	24683	16592
598	24720	16549
599	24762	16508
600	24798	16463
601	24840	16422
602	24890	16387
603	24929	16344
604	24974	16305
605	25023	16269
606	25073	16233
607	25115	16192
608	25153	16149
609	25196	16109
610	25246	16073
611	25282	16028
612	25314	15981
613	25359	15942
614	25409	15906
615	25460	15871
616	25503	15831
617	25537	15785
618	25576	15742
619	25604	15692
620	25618	15635
621	25630	15575
622	25640	15516
623	25651	15456
624	25660	15396
625	25668	15335
626	25678	15275
627	25688	15216
628	25699	15158
629	25714	15102
630	25731	15047
631	25747	14992
632	25764	14937
633	25781	14883
634	25797	14828
635	25812	14773
636	25828	14718
637	25844	14664
638	25860	14610
639	25875	14555
640	25891	14500
641	25904	14445
642	25918	14390
643	25934	14336
644	25950	14282
645	25982	14237
646	26024	14198
647	26055	14153
648	26083	14106
649	26111	14059
650	26137	14012
651	26157	13961
652	26177	13910
653	26198	13860
654	26221	13811
655	26262	13771
656	26300	13730
657	26352	13696
