iter	Logloss
0	0.6513645409
1	0.610415625
2	0.5763658355
3	0.5451522165
4	0.5157822774
5	0.4894907198
6	0.4645340817
7	0.4461363401
8	0.4206267264
9	0.4021141943
10	0.382811109
11	0.3652781848
12	0.3497538737
13	0.3358776337
14	0.3211755917
15	0.3091880065
16	0.298881862
1717	0.2904496691818	0.2790866147
19	0.2700628959
20	0.2627121	0.221	0.2550922	0.222	0.2471499925
23	0.2394738964
24	0.23289476
25	0.226488682
26	0.2211015146
27	0.2154066221
28	0.2108077329	29	0.2064152041
30	0.2024046231	31	0.1977235532	32	0.1931187733	33	0.1897651934	34	0.1854748035	35	0.1802892136	36	0.175986637	037	0.172963538	38	0.1695272739	39	0.166615940	040	0.163871741	041	0.161222842	042	0.158503043	43	0.1566001644	44	0.1546058045	45	0.1518996346	46	0.149629447	47	0.1466411248	48	0.1447073349	49	0.1418754450	50	0.1403422851	51	0.1384885152	52	0.1368354053	53	0.1352196854	54	0.133559355	055	0.131949556	056	0.130326057	0.1245145147
58	0.1234353575
59	0.1222056821
60	0.1209608476
61	0.1199490601
62	0.1184759038
63	0.1172926384
64	0.116131495
65	0.1149976426
66	0.114031337
67	0.1126782421
68	0.1112944858
69	0.1100795239
70	0.109092904
71	0.1080564067
72	0.1073050141
73	0.1063536244
74	0.1055997088
75	0.1047804903
76	0.1033830323
77	0.1026046063
78	0.1016383505
79	0.1005746605
80	0.09934369649
81	0.09869305116
82	0.09781937574
83	0.09677859149
84	0.09599359719
85	0.09535179302
86	0.09464677251
87	0.09376546879
88	0.09310111408
89	0.09237938151
90	0.09193757172
91	0.09138591511
92	0.09084966415
93	0.09030011203
94	0.08970461886
95	0.08914671406
96	0.08825354992
97	0.08774249605
98	0.08724790198
99	0.08668051756
100	0.08620249659
101	0.08581343573
102	0.08501394155
103	0.08432277173
104	0.08379050203
105	0.08340138063
106	0.08301898467
107	0.08266585293
108	0.0823348647
109	0.08187575734
110	0.08136498024
111	0.08110444972
112	0.08069820167
113	0.08019594164
114	0.07967915148
115	0.07941436939
116	0.07910203006
117	0.07880668729
118	0.07832782451
119	0.07777958372
120	0.07706284658
121	0.07662123306
122	0.07627751059
123	0.07582738432
124	0.07559802946
125	0.07528457928
126	0.07490237769
127	0.07456744698
128	0.07418909908
129	0.07388909509
130	0.07351603279
131	0.07303383673
132	0.07271374027
133	0.0723440963
134	0.071964674991135	0.071682355513136	0.071161928513137	0.071049251138138	0.070701450139139	0.07049029118
140	0.07028138259
141	0.06984914869
142	0.06971527037
143	0.06944077488
144	0.06894282145	145	0.06868292088
146	0.06850470804
147	0.0683079757
148	0.06813643752
149	0.06783195196
150	0.06746363028
151	0.06715915209
152	0.06702032907
153	0.066812407154154	0.0665877598
155	0.066351877015156	0.06606418831157	0.065740653011158	0.0655701638
159	0.06537002345
160	0.06518252286
161	0.06500261189
162	0.06471863434
163	0.06459176442
164	0.06428770791
165	0.06393516502
166	0.06375127078
167	0.06339983642
168	0.06308122335
169	0.06264132895
170	0.06248187884
171	0.06238001148
172	0.06219334834
173	0.06194619049
174	0.06184618008
175	0.061668809951176	0.061482485841177	0.0612335374
178	0.06102776977
179	0.06083949259
180	0.060741298
181	0.06050132644
182	0.06026958424
183	0.06018816849
184	0.06002732187
185	0.0599253759
186	0.05980304713
187	0.05964288656
188	0.05938061696
189	0.05919363259
190	0.05888888992
191	0.05877424568
192	0.05857116065
193	0.0583725205
194	0.05818851183
195	0.05801584402
196	0.05781710059
197	0.05766343527
198	0.0575959566
199	0.0574987166
200	0.0572290212
201	0.05709415
202	0.05700923971
203	0.0568187561
204	0.05661914095
205	0.05648937
206	0.0562121419
207	0.05608734075
208	0.05592581901
209	0.05586477102
210	0.05575305123
211	0.05544652677
212	0.05521740688
213	0.055089213	0.214	0.054973214	0.215	0.054732215	0216	0.054596216	0.217	0.0544217	0.05218	0.0543218	0.05219	0.0542219	0.05220	0.0539220	0.05221	0.0538221	0.05222	0.0537222	0.05223	0.0535223	0.05224	0.05345959885
225	0.05336499436
226	0.0532226	0.05227	0.0531227	0.05228	0.0531228	0.05229	0.0530229	0.05230	0.0529230	0.05231	0.0527231	0.05301235999
232	0.05282263639
233	0.05258088523
234	0.05245843094
235	0.05240074366
236	0.05226717879
237	0.05212812351
238	0.05187251346
239	0.05169828324
240	0.05154105734
241	0.05124952472
242	0.05108096239
243	0.0509500421
244	0.05087965484
245	0.0508194374
246	0.05072070781
247	0.05063799093
248	0.05051305909
249	0.05250	0.0509250	0.05251	0.05090011045
252	0.05081408087
253	0.05064131119
254	0.05057564473
255	0.05042183842
256	0.05032021692
257	0.05025809105
258	0.05014565805
259	0.0500844167
260	0.05001024663
261	0.04997079608
262	0.04986610014
263	0.04972828971
264	0.04956562417
265	0.04949941532
266	0.04932863806
267	0.04916683445
268	0.04893425699
269	0.0488576756
270	0.04879587684
271	0.04876997568
272	0.04860026704
273	0.04849854533
274	0.04846297128
275	0.04842524007
276	0.04823375396
277	0.04807310217
278	0.04803269773
279	0.04797506718
280	0.04784736949
281	0.04779566563
282	0.04773526017
283	0.04760608649
284	0.04752772385
285	0.04744654325
286	0.04734301895
287	0.04726175853
288	0.04721351595
289	0.04716291116
290	0.04698526955
291	0.04690788521
292	0.0468067659
293	0.04670717694
294	0.04664296591
295	0.0465455578
296	0.04648203062
297	0.04643234129
298	0.04629165705
299	0.04622861401
300	0.04618346731
301	0.04614710039
302	0.04602826264
303	0.04590402882
